ID Mahasiswa,Nama,total_login,materi_selesai,skor_kuis_rata2,partisipasi_forum,durasi_total_akses,status_akademik_terakhir,interaksi_mingguan,jumlah_tugas_dikumpulkan,frekuensi_kuis,aktivitas_mobile,dropout
MHS0089,Emin Megantara,49,31,89.22,5,57.1,IPK < 2.5,15,0,7,26.4,0
MHS0090,Citra Prasasta,5,30,47.48,5,88.5,IPK > 3.0,7,0,5,59.1,0
MHS0091,Mariadi Marpaung,29,79,63.23,1,69.2,IPK > 3.0,16,7,2,27.8,0
MHS0092,Intan Rahimah,11,79,74.02,0,57.0,IPK < 2.5,7,14,7,53.7,0
MHS0093,"Dr. Adika Zulkarnain, S.E.I",13,13,59.78,9,83.8,IPK 2.5–3.0,31,6,4,64.7,0
MHS0094,Tina Rahimah,28,84,88.73,4,62.6,IPK < 2.5,6,2,2,25.2,0
MHS0095,drg. Cemani Mayasari,5,71,76.09,4,32.7,IPK > 3.0,20,5,4,51.7,0
MHS0096,Dr. Uli Maheswara,48,71,72.85,1,24.7,IPK > 3.0,6,14,4,47.5,1
MHS0097,Cut Nurul Hutagalung,12,33,77.85,5,19.5,IPK > 3.0,34,8,5,15.7,0
MHS0098,R. Padma Padmasari,28,64,87.63,8,90.4,IPK < 2.5,24,6,2,75.5,0
MHS0099,Marsudi Melani,15,18,85.39,1,72.5,IPK > 3.0,32,11,2,36.9,0
MHS0100,Emas Pratama,21,12,76.21,9,94.1,IPK > 3.0,29,2,1,56.0,1
MHS0101,Irma Lestari,12,40,77.46,1,62.3,IPK < 2.5,36,13,7,51.2,0
MHS0102,Utama Permata,39,49,47.3,2,50.0,IPK 2.5–3.0,14,13,2,51.1,0
MHS0103,"Tasnim Wasita, S.E.I",39,45,45.14,6,10.7,IPK 2.5–3.0,37,12,1,18.6,0
MHS0104,Puti Gina Puspasari,37,33,68.55,5,68.8,IPK > 3.0,17,5,3,43.9,0
MHS0105,drg. Ikin Budiman,9,15,40.92,7,60.3,IPK < 2.5,20,10,3,46.2,0
MHS0106,Dt. Radit Pratiwi,46,75,64.12,7,99.1,IPK > 3.0,26,3,3,68.7,1
MHS0107,"Ir. Kayun Situmorang, M.M.",43,93,50.52,5,27.7,IPK < 2.5,24,13,6,77.2,0
MHS0108,Luhung Budiman,45,84,57.3,9,55.4,IPK < 2.5,31,12,2,53.6,0
MHS0109,Drs. Ophelia Hutapea,32,13,78.79,2,66.8,IPK 2.5–3.0,20,2,6,16.9,0
MHS0110,Vicky Hutapea,11,88,87.06,2,66.2,IPK 2.5–3.0,38,8,7,28.9,0
MHS0111,Olga Hidayanto,13,15,43.62,0,58.3,IPK < 2.5,36,9,2,23.2,0
MHS0112,Putri Sitorus,12,60,66.71,6,78.8,IPK > 3.0,30,1,1,20.0,0
MHS0113,Drs. Suci Suryatmi,16,71,84.13,4,24.5,IPK 2.5–3.0,29,0,6,39.3,0
MHS0114,Drs. Raden Utama,38,66,44.13,3,73.9,IPK > 3.0,6,14,6,28.4,0
MHS0115,Ajiono Wahyudin,37,75,81.23,9,63.9,IPK 2.5–3.0,16,13,7,27.5,0
MHS0116,Ciaobella Wulandari,27,88,57.89,3,90.1,IPK 2.5–3.0,13,1,6,14.4,0
MHS0117,Cut Belinda Waskita,28,84,56.1,3,85.5,IPK > 3.0,16,6,4,11.4,0
MHS0118,Radit Gunarto,41,17,88.87,5,34.9,IPK 2.5–3.0,30,9,1,18.2,0
MHS0119,Queen Mansur,39,35,50.04,7,31.2,IPK 2.5–3.0,13,0,3,23.8,0
MHS0120,Zaenab Wahyuni,48,60,74.66,7,98.3,IPK > 3.0,14,5,1,44.5,0
MHS0121,Rachel Purwanti,44,54,81.07,4,55.1,IPK 2.5–3.0,36,13,4,50.8,0
MHS0122,Drs. Wisnu Situmorang,26,53,42.06,5,91.1,IPK 2.5–3.0,38,6,7,21.2,0
MHS0123,"Tgk. Darsirah Prasasta, S.Kom",31,14,73.52,3,20.6,IPK 2.5–3.0,24,8,7,44.0,1
MHS0124,Nardi Maulana,39,79,87.58,8,66.1,IPK > 3.0,6,14,2,37.3,0
MHS0125,"Kamal Suryatmi, M.Farm",5,35,46.21,7,81.9,IPK < 2.5,5,13,1,24.7,0
MHS0126,"Dt. Harjaya Hasanah, S.I.Kom",39,77,84.81,9,95.0,IPK > 3.0,28,7,7,10.5,1
MHS0127,Sidiq Pangestu,41,28,69.74,9,37.0,IPK < 2.5,31,5,6,47.4,0
MHS0128,"R. Sabar Saragih, S.Psi",18,93,70.83,0,73.9,IPK 2.5–3.0,6,2,7,64.9,0
MHS0129,Hj. Rahayu Purnawati,7,29,70.65,1,56.2,IPK < 2.5,35,7,7,28.1,0
MHS0130,Sari Laksmiwati,5,21,54.94,8,10.8,IPK > 3.0,18,6,7,20.5,0
MHS0131,Dimas Gunarto,9,56,86.76,7,70.5,IPK > 3.0,6,2,7,81.0,0
MHS0132,Ihsan Nababan,30,10,87.37,2,70.6,IPK 2.5–3.0,33,8,3,32.0,0
MHS0133,"Gawati Prasetyo, S.IP",18,99,71.27,7,93.4,IPK < 2.5,19,11,3,27.9,0
MHS0134,"Balidin Sitorus, S.IP",43,23,79.17,0,52.2,IPK 2.5–3.0,16,1,2,78.6,0
MHS0135,"Elvin Marbun, S.Sos",31,73,70.61,9,26.9,IPK 2.5–3.0,32,2,7,75.4,1
MHS0136,Sutan Ikin Santoso,13,47,64.22,3,9.2,IPK > 3.0,24,1,1,45.9,0
MHS0137,R. Aris Prasetya,19,46,73.04,2,44.5,IPK < 2.5,28,12,4,49.1,0
MHS0138,"Hj. Ida Budiman, M.Kom.",19,20,67.65,5,33.7,IPK < 2.5,25,0,2,27.4,0
MHS0139,Marsito Aryani,30,86,69.87,6,77.3,IPK < 2.5,14,3,1,16.3,0
MHS0140,Ir. Kania Januar,46,12,79.19,3,38.7,IPK < 2.5,18,4,7,55.9,0
MHS0141,"Puti Qori Aryani, M.Kom.",17,42,64.05,6,95.2,IPK 2.5–3.0,22,12,5,17.9,1
MHS0142,Oskar Wijayanti,36,15,42.04,8,96.4,IPK 2.5–3.0,28,5,7,45.9,0
MHS0143,"Dariati Wijaya, S.Farm",43,59,48.2,1,64.0,IPK > 3.0,18,4,3,85.2,0
MHS0144,Bagas Uyainah,36,19,61.93,2,93.2,IPK 2.5–3.0,38,0,4,86.2,0
MHS0145,Zahra Oktaviani,8,14,76.24,4,77.3,IPK 2.5–3.0,16,2,6,29.1,1
MHS0146,"Ciaobella Pradana, S.Farm",34,32,69.66,2,57.0,IPK > 3.0,26,0,4,59.9,0
MHS0147,Dadi Wijayanti,41,19,72.51,7,22.1,IPK > 3.0,10,10,6,47.9,0
MHS0148,Gaman Pratiwi,27,53,63.96,9,48.6,IPK > 3.0,26,4,4,80.1,0
MHS0149,drg. Devi Prasetya,43,11,70.79,7,58.3,IPK 2.5–3.0,18,4,3,31.7,0
MHS0150,Amalia Saefullah,49,22,56.45,7,87.1,IPK 2.5–3.0,20,11,6,10.3,0
MHS0151,Shania Mardhiyah,19,49,63.51,8,50.7,IPK > 3.0,29,10,1,23.0,0
MHS0152,Jindra Samosir,47,11,77.21,3,90.3,IPK > 3.0,36,12,6,38.0,0
MHS0153,Kusuma Palastri,33,93,83.59,4,69.1,IPK > 3.0,37,5,2,35.3,0
MHS0154,"Dr. Kani Andriani, S.Ked",40,74,61.68,4,18.0,IPK 2.5–3.0,24,7,1,73.3,0
MHS0155,R. Kasim Marpaung,17,72,42.18,7,99.5,IPK 2.5–3.0,22,9,2,64.4,0
MHS0156,Cut Natalia Palastri,36,82,48.08,6,55.1,IPK < 2.5,7,11,7,34.0,0
MHS0157,Ir. Naradi Puspita,11,26,41.04,8,42.2,IPK 2.5–3.0,27,0,4,46.6,0
MHS0158,Endah Prasetya,26,18,72.66,7,67.6,IPK 2.5–3.0,36,3,1,17.6,0
MHS0159,Agus Prayoga,32,84,56.62,1,15.3,IPK 2.5–3.0,20,9,4,81.9,1
MHS0160,Lurhur Budiman,6,24,67.12,9,65.5,IPK > 3.0,9,10,7,84.8,0
MHS0161,"Belinda Nurdiyanti, S.Pt",46,33,64.66,3,52.3,IPK 2.5–3.0,8,0,5,88.4,0
MHS0162,"drg. Latika Pradana, S.I.Kom",49,47,44.08,5,43.6,IPK > 3.0,25,8,4,79.5,0
MHS0163,Sutan Wisnu Puspita,10,44,60.16,1,95.5,IPK < 2.5,18,10,7,23.9,0
MHS0164,Novi Iswahyudi,32,58,51.03,6,54.6,IPK < 2.5,35,6,4,13.7,0
MHS0165,Karsana Wastuti,32,78,60.92,2,25.8,IPK > 3.0,18,6,7,56.4,1
MHS0166,"Dr. Wulan Sinaga, M.Pd",48,71,50.18,2,48.6,IPK > 3.0,10,11,2,83.0,0
MHS0167,"Kusuma Damanik, M.Kom.",48,69,82.02,1,92.3,IPK > 3.0,16,4,7,24.2,0
MHS0168,Rudi Maulana,24,59,48.71,7,21.7,IPK 2.5–3.0,20,6,6,10.6,0
MHS0169,"dr. Yance Halim, S.T.",34,87,88.04,5,25.3,IPK < 2.5,21,11,5,74.4,0
MHS0170,Ian Safitri,15,84,60.8,0,6.2,IPK > 3.0,27,14,4,16.1,0
MHS0171,"Ega Tampubolon, S.IP",32,18,82.31,0,6.3,IPK 2.5–3.0,18,1,7,43.1,0
MHS0172,Zahra Halimah,29,43,71.44,6,83.8,IPK < 2.5,11,13,7,64.3,0
MHS0173,"Puti Yessi Wasita, M.Ak",43,85,76.77,7,74.6,IPK 2.5–3.0,36,12,4,28.9,0
MHS0174,Ajiono Kusumo,37,44,78.39,4,38.7,IPK < 2.5,19,3,5,16.7,0
MHS0175,"Vera Thamrin, S.Pd",5,10,65.24,4,71.3,IPK 2.5–3.0,21,13,5,71.6,0
MHS0176,"Cahyadi Rajasa, S.Psi",31,49,67.17,3,42.5,IPK < 2.5,38,13,7,60.4,0
MHS0177,Karimah Wahyuni,17,73,65.7,5,95.5,IPK < 2.5,9,6,1,89.1,0
MHS0178,"Sutan Harimurti Suryatmi, M.Ak",45,31,69.4,5,96.9,IPK 2.5–3.0,31,2,2,37.5,0
MHS0179,Jatmiko Maryadi,7,69,41.47,2,42.3,IPK > 3.0,27,1,5,14.9,1
MHS0180,Kasusra Winarsih,43,73,59.78,8,86.2,IPK < 2.5,18,9,5,68.7,0
MHS0181,"Ratih Hutapea, M.M.",10,81,70.31,6,78.4,IPK > 3.0,19,1,3,51.7,1
MHS0182,Mala Kuswoyo,12,20,69.89,0,34.4,IPK 2.5–3.0,37,12,6,27.1,0
MHS0183,"Ghani Hutasoit, S.Pd",31,23,79.65,6,27.0,IPK > 3.0,35,0,5,72.5,0
MHS0184,"drg. Malik Wacana, S.Kom",13,69,72.75,4,48.5,IPK > 3.0,39,4,2,26.3,0
MHS0185,Titin Kurniawan,41,39,89.61,4,79.2,IPK > 3.0,21,11,6,30.9,0
MHS0186,Rahmi Hardiansyah,37,44,54.19,1,96.2,IPK > 3.0,32,5,6,17.4,0
MHS0187,"Rahmat Haryanto, S.Ked",46,94,57.96,3,77.5,IPK > 3.0,23,5,4,42.0,0
MHS0188,"Melinda Manullang, M.Kom.",48,46,59.19,5,86.2,IPK < 2.5,27,8,4,43.5,0
MHS0189,Eka Hasanah,28,14,63.29,9,62.3,IPK < 2.5,36,3,4,51.2,0
MHS0190,"drg. Kezia Mandala, S.Farm",19,92,81.8,6,84.4,IPK < 2.5,17,0,4,66.7,0
MHS0191,"Drs. Utama Halim, S.Pd",36,87,51.79,4,79.5,IPK 2.5–3.0,24,5,3,82.5,0
MHS0192,Tgk. Icha Wibisono,36,35,78.8,8,40.8,IPK > 3.0,39,14,5,21.0,0
MHS0193,Harjasa Saptono,28,71,60.27,2,57.4,IPK < 2.5,9,4,4,14.3,0
MHS0194,"Dr. Paramita Kuswoyo, M.M.",45,13,70.09,0,81.5,IPK 2.5–3.0,13,9,7,11.5,0
MHS0195,"dr. Jail Suartini, S.T.",16,98,71.63,3,9.4,IPK < 2.5,33,5,1,21.5,1
MHS0196,Baktiadi Mandala,43,51,58.64,8,81.8,IPK < 2.5,10,2,4,62.6,0
MHS0197,Hafshah Wahyudin,6,98,65.63,3,21.9,IPK > 3.0,29,1,5,68.2,0
MHS0198,drg. Siska Prayoga,7,27,60.65,1,53.9,IPK 2.5–3.0,35,5,4,72.9,0
MHS0199,Tugiman Nasyiah,41,49,43.46,9,81.8,IPK > 3.0,26,12,3,29.5,0
MHS0200,Vino Hutagalung,21,81,61.86,4,29.1,IPK > 3.0,6,0,2,34.5,0
MHS0201,Calista Sihombing,6,48,44.87,2,28.4,IPK < 2.5,9,6,2,48.7,0
MHS0202,Pia Haryanto,6,23,60.25,8,43.3,IPK > 3.0,31,6,5,15.1,0
MHS0203,Lala Situmorang,32,41,69.65,3,90.0,IPK 2.5–3.0,29,9,7,58.9,1
MHS0204,Tami Pangestu,27,60,68.97,5,5.0,IPK > 3.0,12,12,2,88.7,0
MHS0205,Puti Padmi Januar,41,47,73.13,1,90.6,IPK > 3.0,5,6,2,38.9,0
MHS0206,H. Paiman Hasanah,36,32,44.76,5,19.6,IPK > 3.0,24,14,1,70.2,0
MHS0207,Wirda Safitri,37,72,72.61,2,99.1,IPK < 2.5,27,11,5,50.0,0
MHS0208,Karna Rajasa,5,24,55.61,8,95.7,IPK 2.5–3.0,36,10,7,20.2,0
MHS0209,"Samiah Mandasari, M.M.",23,34,59.95,1,52.0,IPK < 2.5,15,9,5,56.6,0
MHS0210,Dasa Lailasari,6,26,82.9,8,53.7,IPK < 2.5,28,0,2,34.0,0
MHS0211,"Hilda Haryanti, S.Pd",48,75,40.45,4,50.7,IPK < 2.5,15,14,2,12.8,0
MHS0212,Nadine Suryatmi,30,87,69.42,7,65.4,IPK < 2.5,33,3,2,60.8,1
MHS0213,"Dr. Simon Rahayu, M.Farm",36,62,69.94,1,13.6,IPK < 2.5,30,12,6,78.7,0
MHS0214,Laila Nasyidah,10,60,59.83,5,8.1,IPK 2.5–3.0,20,6,3,37.6,0
MHS0215,R.M. Kunthara Mangunsong,36,48,51.85,2,10.5,IPK > 3.0,39,10,4,41.2,0
MHS0216,R.A. Safina Pratama,8,60,51.73,9,47.2,IPK < 2.5,24,8,3,81.3,0
MHS0217,Tgk. Vera Yolanda,15,79,84.19,4,31.2,IPK < 2.5,7,4,5,75.1,0
MHS0218,"Tirtayasa Prakasa, M.Pd",21,15,62.1,7,64.1,IPK 2.5–3.0,5,12,1,67.2,0
MHS0219,"Sutan Prabowo Palastri, S.E.I",42,76,56.54,9,99.3,IPK 2.5–3.0,5,1,4,29.9,0
MHS0220,"Dr. Wisnu Adriansyah, S.Gz",28,16,62.44,0,41.7,IPK > 3.0,21,6,1,82.8,0
MHS0221,Makara Utami,9,60,73.47,4,59.5,IPK 2.5–3.0,6,9,7,22.4,0
MHS0222,"Dr. Wadi Hardiansyah, S.Sos",38,81,47.29,2,44.5,IPK > 3.0,33,0,6,60.1,0
MHS0223,Ian Farida,10,51,62.47,3,85.5,IPK < 2.5,24,6,5,12.3,0
MHS0224,Purwa Padmasari,26,73,69.39,1,90.7,IPK < 2.5,10,5,6,61.5,0
MHS0225,Zaenab Latupono,15,24,87.43,8,88.3,IPK > 3.0,12,6,5,32.2,1
MHS0226,Makara Irawan,20,38,52.63,2,97.6,IPK 2.5–3.0,33,13,1,46.0,1
MHS0227,Prabawa Hutapea,37,42,57.96,1,7.6,IPK > 3.0,37,12,1,37.6,0
MHS0228,Harja Hardiansyah,13,36,58.97,9,84.8,IPK 2.5–3.0,7,9,1,23.8,0
MHS0229,"Sutan Gangsar Prakasa, M.Farm",10,45,70.28,8,76.4,IPK < 2.5,39,2,5,59.8,0
MHS0230,Ajeng Saefullah,20,38,57.84,6,26.7,IPK 2.5–3.0,9,14,2,80.6,0
MHS0231,Sarah Saputra,33,47,66.68,5,95.9,IPK > 3.0,31,2,1,86.7,0
MHS0232,Elma Prasasta,7,66,79.09,0,19.1,IPK > 3.0,16,6,6,25.4,0
MHS0233,T. Empluk Lailasari,24,36,75.27,4,69.6,IPK < 2.5,24,12,7,67.4,0
MHS0234,Dr. Maida Nababan,40,64,62.32,2,26.4,IPK 2.5–3.0,24,1,4,63.1,1
MHS0235,Bakianto Wibowo,23,42,83.21,0,46.0,IPK 2.5–3.0,13,0,5,37.5,0
MHS0236,"Maras Irawan, S.E.",30,77,67.91,3,73.3,IPK 2.5–3.0,8,8,6,11.5,0
MHS0237,"R. Jais Winarno, M.Ak",7,95,67.0,1,58.5,IPK < 2.5,23,8,3,65.2,0
MHS0238,Hartaka Sitorus,23,75,41.71,1,45.6,IPK 2.5–3.0,31,6,7,85.6,0
MHS0239,Hesti Santoso,24,19,89.33,2,36.0,IPK > 3.0,17,6,3,60.6,0
MHS0240,"R.M. Marsudi Prasasta, M.Kom.",36,14,46.15,7,84.8,IPK 2.5–3.0,17,2,4,44.8,0
MHS0241,Dewi Pradana,11,83,51.56,7,18.7,IPK < 2.5,26,9,2,52.0,1
MHS0242,"drg. Kardi Dabukke, S.Psi",45,47,42.58,6,45.9,IPK 2.5–3.0,32,14,1,26.0,0
MHS0243,Asmuni Zulaika,37,22,72.0,5,90.9,IPK 2.5–3.0,26,1,5,70.0,0
MHS0244,Marsito Usamah,44,40,51.24,8,85.4,IPK > 3.0,23,10,6,69.7,0
MHS0245,"Dr. Janet Irawan, S.IP",43,56,49.0,3,43.1,IPK 2.5–3.0,12,6,1,21.6,0
MHS0246,Cawisono Siregar,22,97,44.43,0,77.5,IPK > 3.0,12,8,6,80.2,0
MHS0247,T. Praba Uwais,44,61,45.17,7,83.2,IPK > 3.0,30,0,5,31.5,1
MHS0248,Bambang Habibi,5,65,69.23,6,89.4,IPK < 2.5,30,12,3,88.6,0
MHS0249,Farah Usamah,15,24,74.41,6,56.7,IPK > 3.0,27,13,1,40.6,0
MHS0250,Usman Rahayu,32,38,59.87,2,24.4,IPK > 3.0,17,3,4,24.2,0
MHS0251,Ir. Gasti Prakasa,29,17,63.99,3,29.3,IPK < 2.5,32,5,2,38.1,1
